"19/05/2016;11:17:19","ZaskiaMecca","untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format :... nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"14/05/2016","13:39:02","ZaskiaMecca","untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format :... nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"14/05/2016","13:36:32","ZaskiaMecca","nala pants 235.000 lingkar pinggang 62cm (max 100cm) pesak 33cm lingkar pinggul 94cm... lingkar paha 50cm panjang 102cm lingkar pergelangan kaki 30cm bahan : katun untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"13/05/2016","21:35:34","ZaskiaMecca","untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format :... nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - dimohon membaca info album sebelum melakukan orderan.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta paling cepat h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"11/05/2016","20:23:32","ZaskiaMecca","untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format :... nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - dimohon membaca info album sebelum melakukan orderan.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta paling cepat h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"11/05/2016","20:16:43","ZaskiaMecca","gania top bahan : katun rayon harga : 240.000 detail:   p.baju : 75 cm... lingkar  baju : 236 cm ling. pergelangan tangah : 20 cm  *kancing depan *kantong sebelah kanan dada untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"11/05/2016","19:52:14","ZaskiaMecca","ziza pants 290.000 panjang celana : 94cm tingi pasak : 25cm lebar paha : 56cm... lebar pinggang : 50cm  max:106cm  panjang rok : 99cm bahan : spandex rayon untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"11/05/2016","19:43:41","ZaskiaMecca","new alaia 110.000  bahan: spandex rayon kombinasi ceruty... untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"10/05/2016","14:52:48","ZaskiaMecca","untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format :... nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"10/05/2016","14:52:28","ZaskiaMecca","tara top harga : 210.000 panjang baju: 64cm lebar bahu:8cm lingkar ketiak: 44cm... lingkar dada : 98cm panjang tangan : 56cm bahan : katun untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"09/05/2016","18:17:22","ZaskiaMecca","sezha 245.000 panjang baju: 85cm lebar bahu: 16cm lingkar ketiak: 23x2=46cm... panjang tangan: 60cm bahan : rajut cotton untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"09/05/2016","14:50:51","ZaskiaMecca","sezha 245.000 panjang baju: 85cm lebar bahu: 16cm lingkar ketiak: 23x2=46cm... panjang tangan: 60cm bahan : rajut cotton untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"08/05/2016","17:47:47","ZaskiaMecca","antem 95.000  bahan: spandex rayon... untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
"08/05/2016","17:46:41","ZaskiaMecca","malana 110.000  bahan: spandex rayon... untuk order (pilih salah satu) whatsapp/sms ina 081574696055 (no call, text only) wechat id : lavinia_meccanism dengan format : nama : alamat : tlp : order : - tlg sms orderannya sesuai format yaa (satu kali enter) - format order = proses - no rekening kami hanya bca atas nama zaskia adya mecca - tidak ada sistem keep/booking barang, apabila barang habis customer dapat ganti dgn barang lain/refund uang - kami tidak melayani orderan via fb, tanya2 silahkan whatsapp/wechat aja yaa.  - order = sabar - pengiriman senin-jumat. sabtu, minggu dan hari libur nasional tidak ada pengiriman. orderan ttp di proses slow respon - resi bisa diminta h+1 setelah pengiriman, kecuali hari jumat resi bs diminta di hari senin sore - untuk yg mau barangnya 1 hari sampai, bisa menggunakan service jne yes - khusus wilayah jakarta kami menggunakan kurir pick me up, barang langsung sampai ke tangan customer di hari yang sama pada saat pengiriman, dengan biaya 10.000/kg - pengiriman dilakukan keesokan harinya setelah transfer. - barang yg sudah dibeli tidak dpt ditukar/dikembalikan kecuali reject dan batas maksimal retur 3 hari setelah barang diterima customer k berlaku thanks smile emotikon meccanism"
